,full_text,full_text_eng,classification,classification naive bayes
12,ganjar pranowo prof mahfud md sambut positif seperti soundtrack hidup dengan bagai komposer utama,Ganjar Pranowo Prof Mahfud MD welcomed positively like a living soundtrack like a major composer ,Positif,Positif
13,bhuhahahaa baru aja kemarin capres nyentil ehh auto naik makanya ngga salah deh milih amin jokowi resamai naik gaji asn tnipolri jelang milu 2024,Bhuhahahaa just yesterday the presidential candidate ehh auto rose so it was not wrong to choose Amin Jokowi to raise the salary of ASN Tnipolri ahead of MILU 2024 ,Positif,Positif
14,ungkap rasa cinta tanah air mu yuk guna hak suara mu milu 14 februari 2024,say the love of your homeland yuk for your voting rights Milu 14 February 2024 ,Positif,Positif
15,pasal 280 ayat 1 uu milu,Translatedsrcsu desten textArticle 280 verse 1 law followed ,Netral,Positif
16,setia gagas,faithful idea ,Netral,Positif
17,jerit hati driver ojol,scream the heart of the ojol driver ,Netral,Positif
18,babinkamtibmas desa pancamakmur aipda i wayan agus laksana giat sambang warga bina selalu jaga kamtibmas aman ajak masyarakat datang tapis beri hak pilih milu tanggal 14 feb2024,Babinkamtibmas Pancamakmur Village Aipda I Wayan Agus Like Sambang Sambang Residents Bina Always Maintain Kamtibmas Aman Invite the community to come in Tapis Give the right to vote for Milu on 14 Feb2024 ,Positif,Positif
19,waspada hoaks edar jelang milu 2024,alert hoaks circulation ahead of miles 2024 ,Netral,Positif
20,masyarakat antusias beri dukung sepenuh hati menciptidakan suasana makin cerah tambah visi jelas ganjar pranowo mahfud md,The community is enthusiastic to support wholeheartedly creating the atmosphere more brighter added vision clearly Ganjar Pranowo Mahfud MD ,Positif,Positif
21,ganjar pranowo prof mahfud md story media sosial ssampaie trending twitter jadi viral berkat sambut positif mereka ciptidakan,Ganjar Pranowo Prof Mahfud Md Story Social Media Ssampaie Trending Twitter became viral thanks to their positive welcome ,Positif,Positif
22,milu 2024 kualitas milu kunci partai politik masalah proses calon pasang capres cawapres muncul parpol laksana fungsi simak ramlan surbakti opini kompas,MILU 2024 QUALITY OF MILU KEY OF POLITICAL PARTY PROBLEMS PROBLEMS OF CANDIDATE CANDENTS OF Vice Presidential Candidates Emerged Political Parties like the function of SIMAK RAMLAN SURBAKTI KOMPAS OPINION ,Netral,Positif
23,milu 2024 setia gagas bagai curang langgar milu tengah jadi sistematis rasa berat henti baca yanuar nugroho opini kompas,MILU 2024 Faithful Gagas Like Cheating Lagger Milu Middle So Systematic The Stopping Weight Read Yanuar Nugroho Kompas Opinion ,Netral,Positif
24,kapolres barito kuala akbp diaz sasongko sikmh didsampaiingi kabag ops polres barito kuala kompol sony fl laksana giat rakor kesiap distribusi logistik milu 2024 polres barito kuala betempat aula jananuraga polres barito kuala,Barito Kuala Police Chief Adjunct Senior Commissioner Sasongko Sikmh Discovered the Head of Ops Ops Barito Kuala Kompol Sony Fl Laksan Senior Coordination Meeting of Logistics Distribution Milu 2024 Barito Kuala Police Station Place the Jananuraga Hall of Barito Kuala Police Station ,Netral,Positif
25,anda milu 2024 ikut paslon 01 03 milu 2024 rumit ada 02 sumber masalah calon hasil runtuh daulat mk,You MILU 2024 JOIN PASLON 01 03 MILU 2024 COMPUS there is 02 Source of Problem Candidates for the results of the MK Daulat collapsed ,Netral,Positif
26,kapolres teluk wondama selaku ka ops res omb mansinam 20232024 hadir giat simulasi mungut hitung suara tapis milu 2024,Teluk Wondama Police Chief as Head of Ops Res Omb Mansinam 20232024 Present Size Simulation Calculates Voice Tapis Milu 2024 ,Netral,Positif
27,dukung cela masyarakat jadi sumber kuat besar pilih kaya wawas cerdas ganjar pranowo mahfud md,Support the peoples blemishes to be a strong source of great Choosing Rich Wawas Smart Ganjar Pranowo Mahfud MD ,Positif,Positif
28,ganjar pranowo prof mahfud md ajar sambut positif bukan respons juga kuat menciptidakan ubah lebih baik,Ganjar Pranowo Prof Mahfud MD Teaching positively not a response is also strong to create a better change ,Positif,Positif
29,pindah pilih tinggal pek,move to select left Pek ,Netral,Positif
30,patroli dialogis personel polsek mancak lalu giat ronda siskamling ssampaiaikan pesan harkamtibmas jelang milu 2024,Patrol Dialogic Personnel Mancak Sector Police then Ronda Siskamling SsiRat Harkamtibmas Message Ahead of Milu 2024 ,Netral,Positif
31,selasa tanggal 30 januari 2024 mulai pukul 1930 wib sd 2100 wib tempat wilayah kapanewon paliyan laksana aman bekal kader juang saksi tapis pdi juang milu tahun 2024,Tuesday January 30 2024 starting at 1930 WIB SD 2100 WIB Place of when the area of Paliyan is safe ,Positif,Positif
32,ksampaianye milu 1999 2004 ga mungkin 2024 pakai musisi 2000an kan,KSUPTANYE MILU 1999 2004 It is impossible for 2024 to use 2000s musicians right ,Negatif,Positif
33,profesi petugaskelompok selenggara mungut suara kpps dadak viral sosial media besar milu 2024 gaji tugas kpps alami naik banding milu lalu,The profession of group officers in the middle of KPPS Dadak Viral Big Social Media Milu 2024 Salary for Natural KPPS Assignments to Appeal Milu Last ,Positif,Positif
34,masa ksampaianye milu 2024 aiptu wayan jelantik dirga terus tingkat giat sambang pelihara kamtibmas kondusif,Period of Milu 2024 Aiptu Wayan Jelantik Milu ,Netral,Positif
35,ganjar pranowo prof mahfud md era digital jadi content creator sambut positif buat semua hosetujud,Ganjar Pranowo Prof Mahfud MD Digital Era So Content Creator Welcomes Positive for all Hostubs ,Positif,Positif
36,suasana positif makin besar dukung luas masyarakat serta arah jernih ganjar pranowo mahfud md,The positive atmosphere is getting bigger supporting the broad community and the clear direction of Ganjar Pranowo Mahfud MD ,Positif,Positif
37,harap deklarasi milu damai laksana coblos milu akan laksana 14 februari 2024 langsung aman damai kabupaten gunung bintang,Please Declaration of Milu Damai Like Coblos Milu will be like February 14 2024 directly safe peaceful in Gunung Bintang Regency ,Positif,Positif
38,milu panggung damai solid jaga satu aman jadi milu 2024 bagai panggung toleransi mana masyarakat saling jaga satu walaupun tengah beda pilih gagas melki pondok ranji uzbekistan,MILU STAGE DAMAGE SOLID SECOME SAFE BECOME MILU 2024 Like the Stage of Tolerance Where the community is guarding each other even though it is different from choosing the Melki Pondok Ranji Uzbekistan Gagas ,Positif,Positif
39,langit jakarta gelap arah kan mindset seluruh bangsa hendak rakyat hendak konglomerat pemilu2024 dengan cara intelektual hak politik rakyat tekan ancam ketidakutan arti apa laksana milu luber jurdil paramater,Jakarta Sky Dark direction the mindset of all the nations about the people want to be the Conglomerate of the 2024 Election by intellectual means of the political rights of the people we will threaten the meaning of what is like Luber Jurdil Parameter Luber Luber ,Positif,Positif
40,ganjar pranowo prof mahfud md bukan jadi pimpin juga pahlawan sambut positif buat bangga,Ganjar Pranowo Prof Mahfud MD is not a leader also a positive welcome to be proud ,Positif,Positif
41,masyarakat satu beri dukung hingga gambar percaya dalam kebijakankebijakan usung ganjar pranowo mahfud md,One community gives to support to believe in the policy of the policy of the stretcher of Ganjar Pranowo Mahfud MD ,Netral,Positif
42,serba serbi tugas kpps bagaimana peran awal prosesi milu 2024,SERBA SERBI TASK KPPS What is the initial role of the 2024 MILU procession ,Netral,Positif
43,kapolda sulsel inisiasi deklarasi milu damai antihoaks sama forkopimda sulawesi selatan putih abuabu kapolda sulsel irjen pol andi rian r djajadi sik mh inisiasi deklarasi milu damai tahun 2024 putih abu abu sama generasi z forum osis sesulsel,South Sulawesi Regional Police Chief Initiated Declaration of Milu Damai Antihoaks with Forkopimda South Sulawesi White White Sulsel Kapolda Inspector General of Police Andi R Djajadi SIK MH Initiation of Declaration of Peace Milu in 2024 White Abu Abu Sesulsel OSIS Forum Z Forum Sesulsel Forum ,Positif,Positif
44,13 hari tuju milu serentidak tahun 2024 hitung mundur 31 januari 2024 tuju 14 februari 2024,13 Days of Milu Delays in 2024 Calculating Step ,Netral,Positif
45,milu 2024 panggung penting demokrasi indonesia bersamasama jaga milu jalan aman damai saling harga pilih beda ada melki pondok ranji uzbekistan becak guntur mancini warteg,MILU 2024 Important Stage of Indonesian Democracy Together Maintain Milu Jalan Safe Peaceful Prices Choose Different There is Melki Pondok Ranji Uzbekistan Pedicab Guntur Mancini Warteg ,Positif,Positif
46,sama beri dukung bawa sinergi positif tidak elak pilih bantu saran bijak ganjar pranowo mahfud md,Same Give Support Bring Positive Synergy Not Elak Choose Help Wise Suggestions Ganjar Pranowo Mahfud MD ,Positif,Positif
47,ganjar pranowo prof mahfud md sambut positif asa hati warga gambar pimpin a la sungguh sentuh hidup seharihari,Ganjar Pranowo Prof Mahfud MD welcomes the hearts of the hearts of the residents of the picture leader a la really touch daily life ,Positif,Positif
48,giat bhabinkamtibmas sambang desa bina ciptidakan suasana kondusif jelang milu 2024,GIRS BHABINKAMTIBMAS SAMBANG BINA CIPTIDAKAN DESA CONDUSIVE ATTENTION Ahead of MILU 2024 ,Netral,Positif
49,mungut suara milu 2024 jeddah arab saudi maju hari dasar surat putus kpu nomor 122 tahun 2024,Election Collecting 2024 Jeddah Saudi Arabia Forward Basic Day of KPU Letter Number 122 Year 2024 ,Netral,Positif
50,patroli kamtibmas ppk sekar jelang siap milu 2024 polsek sekar,Patrol Kamtibmas PPK Sekar ahead of Milu 2024 Sekar Police Station ,Netral,Positif
51,emang orang buka aib sendiri mau naikin pajak susah bisnis kalo jadi oposisi culik aktivis ah sekarang ntidaku cuma pas milu dekat sama ulama cebok kerja keras tenang dukung all in,Indeed people open their own disgrace want to raise taxes difficult if you become an opposition to the kidnapped activist ah now its not just right when millu ,Positif,Positif
52,pj wali kota bekas beri pesan erat toleransi sambut milu damai 2024 baca lengkap kunjung,PJ Mayor former Give a Test Message to Tolerance Welcome Milu Damai 2024 Read complete visit ,Positif,Positif
53,giat bhabinkamtibmas sama babinsa patroli dialogis ssampaiaikan pesan kamtibmas jelang milu 2024,Enterprising Bhabinkamtibmas with Babinsa Patrol Dialogic SSAPAI Kamtibmas message ahead of MILU 2024 ,Netral,Positif
54,hai beri rapat koordinasi zoom kpu demak ppk pps se kabdemak rangka rapat siap simulasi mungut hitung suara guna sirekap rangka siap milu serentidak tahun 2024,Hai gave the Zoom Coordination Meeting of KPU Demak PPK PPK PPS throughout the Regency of the District Meeting Frame ready to simulate the Calculation of Voice Calculation for Sirekap Sirekan Ready Milu Serent not 2024 ,Positif,Positif
55,ganjar pranowo prof mahfud md hasil menciptidakan tren baik bawa sambut positif resap tiap sudut negeri,Ganjar Pranowo Prof Mahfud MD The results of creating a good trend carrying a positive welcome of every corner of the country ,Positif,Positif
56,makin kobar semangat positif dukung besar masyarakat pandu pandang cerdas ganjar pranowo mahfud md,Increasingly a positive spirit of supporting the Great Pandu Pandang Pandang Ganjar Pranowo Mahfud MD community ,Positif,Positif
57,diputusin pacar karana beda status anggota kpps aku saksi partai,Disseminated by Karanas girlfriend different status of KPPS members I witnessed the party ,Netral,Positif
58,himbauan kamtibmas jelang milu 2024 kec betung kec suak tape,Appeal Kamtibmas ahead of the 2024 Election Kec Betung Kec Suak Tapeh ,Netral,Positif
59,personil polsek ciwandan laksana aji sambang tokoh agama wilayah kel banjarnegara kec ciwandan rangka milu damai 2024,Ciwandan Sector Police personnel like Aji Sambang Religious Leaders in the Kel Banjarnegara Region Kec Ciwandan Frame Milu Damai 2024 ,Netral,Positif
60,jamin aman milu 2024 anggota polres mukomuko libat satgas omb jaga ketat kantor kpud kabupaten mukomuko,Jamin Aman Milu 2024 Members of Mukomuko Regional Police Libat Task Force OMB Tight Keep Mukomuko Regency KPUD Office ,Negatif,Positif
61,kualitas milu kunci partai politik,Quality of Milu Key Political Parties ,Netral,Positif
62,personel polda bengkulu gabung sub satgas binmas operasi keren brata nala 20232024 laksana giat edukasi informasi masyarakat selalu jaga tertib rangka sukses pesta demokrasi milu 2024 datang,Bengkulu Regional Police Personnel Join Sub Task Force Binmas Cool Operation Brata Nala 20232024 like an active education information community always maintains an orderly manner ,Positif,Positif
63,laksana milu 2024 depan mata masyarakat tentu pilih gelar pesta demokrasi jadi milu 2024 bagai panggung toleransi mana masyarakat saling jaga damai walaupun di tengah beda melki pondok ranji uzbekistan,Like MILU 2024 in front of the eyes of the community of course choose the title of a democratic party to become a 2024 MILU like a stage of tolerance where people are in peace with each other even though in the midst of Melki Pondok Ranji Uzbekistan ,Negatif,Positif
64,satgas preventif omb polres mukomuko laku patroli sekitar lokasi pusat kumpul masyarakat tingkat rasa aman jelang milu 2024,The Mukomuko Police Preventive Task Force Patrol Patrol around the location of the community gathering center level ahead of MILU 2024 ,Negatif,Positif
65,masyarakat beri dukung batas pilih dengan sentuh positif kebijakankebijakan unggul usung ganjar pranowo mahfud md,The public gives supporting the limit of selecting with a positive touch of the superior policy of the Superior Guard Ganjar Pranowo Mahfud MD ,Positif,Positif
66,ganjar pranowo prof mahfud md pusat hibur hingga kafe kenal cerita mereka selalu kait erat sambut positif gema,Ganjar Pranowo Prof Mahfud MD Center for Entertaining to Cafe Knowing Their Story Always Hooks Telearly Greet Positive Gema ,Positif,Positif
67,13 hari tuju pmungutan suara milu 14 februari 2024 ayo tapis guna hak pilih pasti,13 days of milling ballot on February 14 2024 Come on Tapis for the right to vote for sure ,Positif,Positif
68,milu 2024 lebih rusak banding milu 2019 satu kubu ingin tetap kuasa kubu ambisi kuasa suap dalih bantu sumbang dibangtidakan padahal ini merosot demokrasi titik paling bawah 2029 makin hancur,MILU 2024 More Damaged Appeal MILU 2019 One camp wants to remain the power of the Ambition of the Ambition of Bribery The pretext of helping the contribution is left even though it slumped democracy at the bottom of the 2029 more destroyed ,Positif,Positif
69,tumbuh ekonomi jatim 2024 alami baik tumbuh ekonomi jatim tetap atas 5 kira rentang 4957 dorong tumbuh utama sektor konsumsi rumah tangga aktivitas milu,Economy Growing East Java 2024 Natural Good Economic Growing East Java Permanent Over 5 About 4957 Push the main growth of the household consumption sector Milu activities ,Positif,Positif
70,kapolres mukomuko ikut zoom metting kait kesiap libat polres aman pungut hitung suara milu 2024,Mukomuko Police Chief Join Zoom Metting Metting Recommendations Levit Polres Safe Collecting Milu Voice Calculation 2024 ,Positif,Positif
71,2 periode golong putih baik pilpres pileg insha allah 2024 akan partisipasi pd milu,2 White Golong Period Both Insha Allah Pileg Election 2024 Will Participation in Milu ,Netral,Positif
72,dukung kenal lelah masyarakat jadi dorong utama pilih makin kaya pandang bijak ganjar pranowo mahfud md,Support the tirelessness of the community so the main encouragement is to choose the richer the wise view of Ganjar Pranowo Mahfud MD ,Positif,Positif
73,ganjar pranowo prof mahfud md sambut positif bukan sekadar tren juga hasil bijak cerdas mereka,Ganjar Pranowo Prof Mahfud MD welcomed positively not just a trend as well as their smart wise results ,Positif,Positif
74,jajar personel polsek mancak sambang sekretariat ppk mancak pasti tempat logistik milu 2024 aman kendali,Jajar Mancak Sector Police personnel Secretariat PPK Mancak Definitely Logistics Place Milu 2024 Safe Control ,Positif,Positif
75,ayo buat akun baru tik tok ramai,Come on create a new Tik Tok account ,Positif,Positif
76,data riset analitika gerindra partai elektabilitas atas milu 2024,Gerindra Analytical Research Data Electability of Milu 2024 ,Netral,Positif
77,sukses milu 2024 wujud milu 2024 aman damai,Translatedsrcsu desten textSUCCESS MODE 2024 PRODUCTS MODE 2024 ARE ,Netral,Positif
78,hai warga tedunan 2301 ayo kenal 5 jenis surat suara milu serantidak 2024 jangan ssampaiai keliru,Hi residents of Tedunan 2301 lets know 5 types of Milu ballots as not as 2024 do not be mistaken ,Netral,Positif
79,gelombang positif masyarakat menciptidakan momentum lupa pilih kaya arah positif sosok hormat ganjar pranowo mahfud md,The positive wave of the community created the momentum forgot to choose the positive direction of the figure of respect for Ganjar Pranowo Mahfud MD ,Positif,Positif
80,ganjar pranowo prof mahfud md bukan pimpin juga jadi trigger bahagia sambut positif kita rasa,Ganjar Pranowo Prof Mahfud MD is not a leader to be a happy trigger for positive welcomes we feel ,Positif,Positif
81,selektif pilih tangkal hoaks jelang milu 2024,Selective Select Tangkal Hoaks ahead of Milu 2024 ,Netral,Positif
82,saksi live streaming simulasi mungut hitung suara milu serentidak tahun 2024 lalu kanal youtube kpu kabupaten kuta kartanegara hari rabu tanggal 31 januari 2024 mulai pukul 0700 wita siar langsung,Witnesses Live Streaming Simulation Simulation Calculating Milu Voice Serent not in 2024 Then the Kutube Kutu Kartanegara Regency Youtube channel on Wednesday 31 January 2024 starting at 0700 WITA SIAR directly ,Positif,Positif
83,milu 2024 jangan lupa datang tapis,MILU 2024 Dont forget to come in Tapis ,Netral,Positif
84,hallo warga kabupaten tangerang gimana kabar sehat kali bang ricky sedang ada desa ciakar camat panongan tentu rangka sosialisasi juang partai demokrat dalam kontestasi milu 2024,Hello residents of Tangerang Regency how are you healthy Ricky there is a Ciakar Village Panongan Sub District Head of course the framework of socialization of the Democratic Party in the 2024 MILU contestation ,Positif,Positif
85,serah surat pindah pilih lapas kelas ii b selatapianjang tahan polres pulau meranti milu tahun 2024,Handover of Moving Letter to Choose Lapas Class II B Selapanianjang Resistant to the Meranti Milu Island Pulau 2024 ,Netral,Positif
86,atmosfer positif masyarakat bersamasama beri dukung penuh pilih bimbing bijak ganjar pranowo mahfud md,Positive atmosphere of the community together Give full support of wise guidance Ganjar Pranowo Mahfud MD ,Positif,Positif
87,ganjar pranowo prof mahfud md tiap cakap main peran penting bawa sambut positif tingkat next level,Ganjar Pranowo Prof Mahfud MD every CAPTY playing the important role of bringing positive welcome level next level ,Positif,Positif
88,kolonel kav herman taryaman sip mh asintel paspsampaires tegas yang dorong mersampaias spanduk bukan anggota paspsampaires,Colonel Kav Herman Taryaman SIP MH Asintel Pasppsampaires Firm who pushed the banner not a member ,Negatif,Positif
89,hindar berita palsu sara milu sehat 2024 pondok ranji kpps melki uzbekistan tidur pagi hits,Hindar Fake News Sara Milu Sehat 2024 Pondok Ranji KPPS Melki Uzbekistan Sleeping Morning Hits ,Negatif,Positif
90,danurejan rangka cipta kondisi cipkon tahap milu 2024 polresta yogyakarta polsek jajar rayon tiga laksana apel kryd mapolsek danurejan yogyakarta senin 29012024 malam,Danurejan Cipta Cipta Cipkon Conditions Milu 2024 Yogyakarta Police Station Jajar Rayon Tiga Tiga Kryd Mapolsek Danurejan Yogyakarta Monday 29012024 Night ,Netral,Positif
91,tetap semangat ikut konstitusi jadi diri untuk tetap jaga demokrasi kawal milu 2024 tulus hatijangan egois ambisi kau korban harga diri,Keep the spirit of joining the constitution to be self maintaining democracy to guard Milu 2024 sincerely and be selfish and selfish ambitions you are victims of self esteem ,Negatif,Positif
92,ganjar pranowo prof mahfud md jadi trendsetter buat sambut positif jadi the talk of the town rumah tangga ssampaie lembaga perintah,Ganjar Pranowo Prof Mahfud MD became a trendsetter for positive welcome to become the Talk of the Town Household SSAMPAIE Institution Orders ,Positif,Positif
93,makin sar harap dukung henti masyarakat hadir ganjar pranowo mahfud md tambah percaya diri pilih baik,more and more please support the stop people present Ganjar Pranowo Mahfud MD More Confidence Choose Good ,Positif,Positif
94,sejak lantik jadi kpps mana aku baru naek pesawat,Since I was inaugurated as KPPS where have I just got on a plane ,Netral,Positif
95,indonesia aman damai ntt ngada bb polri,Indonesia Safe Peace NTT Ngada BB Polri ,Positif,Positif
96,mantaaab milu satu putar dukung ganjar mahfudberarti turut mengsukseskan milu 2024,MANTAAAB MILU ONE ROAD SUPPOGANDAH MAHFUD means to make the success of MILU 2024 ,Positif,Positif
97,dukung tidak bendung bagai kalang masyarakat beri semangat bara pilih dukung bijak bijak ganjar pranowo mahfud md,Support not weir as a frantal community gives encouragement to choose to support the wise wise Ganjar Pranowo Mahfud MD ,Positif,Positif
98,ganjar pranowo prof mahfud md sambut positif kayak domino racik mereka lewat tingkat desa sampaie pusat perintah,Ganjar Pranowo Prof Mahfud MD welcomed positively like their domino racik through the village level to the center of the order ,Positif,Positif
99,bagaimana mau panggil wong kuasa tunggu pasca milu 2024 nsampaiak kezoliman yang mereka laku,Translatedsrcms desten textHow do you want to call Wong Power Post Milu 2024 to be in tyranny they do ,Netral,Positif
100,milu 2024 sebentar tiba panitia luar negeri kerja keras pilih luar negeri salur suara,Translatedsrcms desten textMilu 2024 Soon the Foreign Committee Hard Work Hard Choose Overseas Voice ,Negatif,Positif
101,masyarakat satu padu beri dukung luar biasa pilih makin kaya momen sebut hadir sosoksosok muka ganjar pranowo mahfud md,One Padu community gives extraordinary support to choose the richer moment to call the figure of the face of Ganjar Pranowo Mahfud MD ,Positif,Positif
102,ganjar pranowo prof mahfud md bukan cuma pimpin juga jadi influencer nyetir arah sambut positif negeri,Ganjar Pranowo Prof Mahfud MD is not just leading to become an influencer driving the direction of the countrys positive welcome ,Positif,Positif
103,papua beri konantiibusi besar pasti sukses milu 2024,Papua gives a great contribution to the success of 2024 ,Positif,Positif
104,sekda kota semarang temu 16 camat 177 lurah netral,Secretary of Semarang City Meeting 16 Sub District Head 177 Lurah Neutral ,Netral,Positif
105,hai halo ssampaiurasun parakanca sadaya tahu lima jenis surat suara milu 2024 yuk simak apa jenis,Hi Halo Ssampaiurasun Parakanca Sadaya Know Five Types of Milu Ballots 2024 Lets Listen to What Types ,Netral,Positif
106,suasana positif asa kuat gelombang dukung hingga masyarakat pilih bareng dukung sepenuh hati ganjar pranowo mahfud md,The positive atmosphere of the strong waves supported until the public chose together to support Ganjar Pranowo Mahfud MD wholehearted ,Positif,Positif
107,ganjar pranowo prof mahfud md ksampaiung halaman ssampaie kota gede bawa vibe positif kece tiap langkah,Ganjar Pranowo Prof Mahfud MD Ksampaiung Ssampuie Kota Gede Bring Vibe positively every step ,Positif,Positif
108,berapa gaji anggota kpps milu 2024 gin nominal tugas,What is the salary of KPPS Milu 2024 Gin Nominal Task Members ,Netral,Positif
109,satu putar 02 langsung kalah aamiinitu harap masyarakat indonesiakehadiran 02 milu 2024 bikin gaduh tumbang,One rotate 02 immediately lost aamiinitu hope that the Indonesian people are presented 02 miles 2024 make noise ,Netral,Positif
110,skrg jg jadi bangga 82 rakyat indonesia ngomong2 foto berita palsuitu jadi lama jauh milu,now its also proud of 82 Indonesian people talking about fake news photos so long a long time ,Positif,Positif
111,dukung penuh masyarakat inspirasi pilih utama hadir sosok hebat ganjar pranowo mahfud md,Fully Supporting the Inspirational Society Choose the main figure Ganjar Pranowo Mahfud MD is present ,Positif,Positif
112,ganjar pranowo prof mahfud md gaya keren menciptidakan gelombang sambut positif bikin semangat meletupletup,Ganjar Pranowo Prof Mahfud MD Cool Style Create a positive welcome wave makes the spirit of digesting ,Positif,Positif
113,buat bukti brp banyak simpatisan pilih demokrat pd milu lalu pilih capres 02 yuk polling akan pilih siapa pd milu 2024,Create evidence brp a lot of sympathizers choose Democrats in Milu and then choose Presidential Candidates 02 Yuk Polling will choose who on MILU 2024 ,Netral,Positif
114,ganjar pranowo prof mahfud md generasi muda hingga senior jadi simbol sambut positif satu semua,Ganjar Pranowo Prof Mahfud MD young generation to seniors became a symbol of positive welcoming one all ,Positif,Positif
115,ganjar pranowo prof mahfud md wajahwajah bangga cermin sambut positif nyata tiap sudut tanah air,Ganjar Pranowo Prof Mahfud Md face face proud of the real positive welcome every corner of the country ,Positif,Positif
116,gagal deh ga jadi kpps mantu idam nanti ada daftar kpps pilkada serentidak 2024 milu 5 tahun depan,failed not to become a KPPS Idams son in law there will be a list of KPPS Pilkada Sendak not 2024 MILU 5 next year ,Negatif,Positif
117,kasdam xivhsn wakil pangdam hadir rakor milu damai tahun 2024,Kasdam XIVHSN Deputy Military Commander Present Peace Coordination Meeting in 2024 ,Negatif,Positif
118,ganjar pranowo prof mahfud md sambut positif adalah anthem sama mereka bintang utama selalu on repeat,Ganjar Pranowo Prof Mahfud MD Greeted positively is Anthem with them the main star is always on repeat ,Positif,Positif
119,ganjar pranowo prof mahfud md bukan pimpin juga bintang sambut positif sinar tiap lapis masyarakat,Ganjar Pranowo Prof Mahfud MD is not a leader also a positive welcoming star of each layer of society ,Positif,Positif
